Name ,State,District,tehsil,village,shape_length,shape_area,longtitude,latitude,electricity,treated_water,electronics,phone,transport
Naya Gaon (21-N),6,85,413,62337,0.107172484102,0.00045171708903900005,76.31032367998239,28.417300806147466,84.7,29.700000000000006,21.13333333333333,79.6,36.4
Gadhi (25-N),6,85,413,62338,0.07606454017580001,0.00023214210654599996,76.32874296750015,28.41486461318863,75.4,47.4,25.266666666666666,78.39999999999998,40.3
Bawa (22-N),6,85,413,62339,0.130148880194,0.00102659321224,76.31624832335092,28.392182559758396,92.0,66.6,24.8,78.10000000000002,27.2
Karoli (23-N),6,85,413,62340,0.107788906466,0.000728662033376,76.34085848494664,28.3786712966251,88.7,35.3,30.700000000000006,82.7,41.3
Bisoha (24-N),6,85,413,62341,0.10355292748400001,0.0005966309586259999,76.34853487686088,28.40210472943028,88.6,13.8,32.6,88.4,41.0
Khursaid Nagar (27-N),6,85,413,62342,0.104830729475,0.000469354981727,76.35888275353345,28.441731299651,89.9,0.0,26.600000000000005,87.7,50.0
Jholri (26-N),6,85,413,62343,0.116338721556,0.000585295723197,76.34418501459413,28.43670287466301,91.8,45.7,21.76666666666667,76.60000000000002,20.1
Mamtaz Pura (28-N),6,85,413,62344,0.0878092783623,0.000247477343744,76.3557509679477,28.418955802906964,91.7,4.4,20.4,89.1,43.3
Bherangi (29-N),6,85,413,62345,0.0830955052715,0.00037505411899599995,76.37458997136247,28.415129106989184,97.0,23.8,30.16666666666667,86.3,34.8
Lookhi (2),6,85,413,62346,0.141485884344,0.000841222906858,76.36869832883758,28.380581972920996,93.1,30.9,32.333333333333336,87.2,43.1
Gujarwas (1),6,85,413,62347,0.0713675969419,0.000333813513004,76.38414517696934,28.38765753876981,95.6,53.3,20.3,84.0,28.4
Nahar (10-N),6,85,413,62348,0.123177429677,0.0007707611647380001,76.40979641631804,28.38098534849729,87.4,43.1,29.1,79.0,33.9
Kohard (30-N),6,85,413,62350,0.0866864014789,0.00036334549722000003,76.40254404459506,28.42244574341578,94.5,34.7,24.3,76.3,30.2
Lilodh (13-N),6,85,413,62351,0.125503347182,0.0008129343650920001,76.40668145274066,28.45124922807093,98.2,78.49999999999999,29.3,82.50000000000001,39.4
Sudhrana (12-N),6,85,413,62352,0.0834085963387,0.00042266296613400003,76.42691645584546,28.45080972998528,89.9,75.60000000000002,29.13333333333333,87.8,28.5
