Name ,State,District,tehsil,village,shape_length,shape_area,longtitude,latitude,electricity,treated_water,electronics,phone,transport
Neor (6),3,46,244,35634,0.10384471462400001,0.000539608269505,75.06252113728198,30.40914214064071,99.2,67.7,32.333333333333336,83.0,43.0
Maluka (5),3,46,244,35635,0.22372441983000002,0.00199790253284,75.05636107329116,30.434585838879343,99.4,73.3,32.03333333333334,75.49999999999999,44.6
Kotha Guru (1),3,46,244,35636,0.280758985935,0.00259410417023,75.09619530265206,30.44537093467699,99.1,56.0,34.96666666666666,85.7,49.90000000000001
Burj Thror (2),3,46,244,35637,0.0803242394185,0.000342341513414,75.05614049626206,30.467967414269022,100.0,7.8,30.966666666666665,59.9,74.5
Siriewala (183),3,46,244,35638,0.14780857683700002,0.00120628965398,75.04776056862471,30.48848561177101,96.8,66.4,32.36666666666667,82.4,44.6
Burj Ladha Singhwala (184),3,46,244,35639,0.10927906555700001,0.0005668813549149999,75.08052597003717,30.513924124820853,94.4,76.6,31.766666666666666,84.89999999999998,41.4
Kesar Singhwala (185),3,46,244,35640,0.0940635540759,0.000395575142524,75.11424753839798,30.51645635408579,98.0,52.6,34.13333333333333,69.39999999999999,58.4
Bhodipura (20),3,46,244,35641,0.142573317269,0.00101113168541,75.15141027355087,30.54014550823285,95.7,72.1,30.43333333333333,83.39999999999998,52.5
Ramuwala (17),3,46,244,35642,0.0900373830925,0.00044350167659900003,75.13273817042057,30.559906919714077,100.0,59.2,30.5,83.7,55.40000000000001
Hakam Singhwala (18),3,46,244,35643,0.103368822858,0.0004382064402019999,75.15097088268607,30.570347091066765,86.7,84.89999999999998,27.03333333333333,68.10000000000001,39.4
Koer Singhwala (19),3,46,244,35644,0.116001024067,0.0005413818260230001,75.16985638811252,30.55180683528107,94.7,78.1,34.53333333333333,82.2,66.8
Aklia Jalal (21),3,46,244,35645,0.148208243166,0.00100554810915,75.15565285800011,30.515003276667642,99.3,74.7,32.03333333333334,76.60000000000002,50.5
Gurusar (22),3,46,244,35646,0.10733934583799999,0.000654264341341,75.13863347435138,30.50235500903386,95.2,78.2,34.46666666666666,87.5,61.2
Hamirgarh (23),3,46,244,35647,0.12297255934599999,0.0007777262600880001,75.12782836331887,30.473857865230684,97.8,63.6,30.26666666666667,87.30000000000003,53.40000000000001
Jalal (24),3,46,244,35648,0.23452233464400002,0.00210007786394,75.15842141929414,30.472639362519036,99.4,66.9,32.43333333333333,79.3,64.3
Dyalpura Bhaika (25),3,46,244,35649,0.24746656257,0.0017358304755699999,75.20222924285338,30.481301315173308,98.6,58.7,28.700000000000006,75.60000000000002,45.2
Gaunspura (26),3,46,244,35650,0.0894686001513,0.000334491665434,75.20688990583437,30.50419582689875,96.6,62.2,39.2,94.9,77.3
Kangar (27),3,46,244,35651,0.14892083956,0.0006605528768200001,75.22773019214749,30.492726350589862,96.6,69.9,31.16666666666667,77.5,40.0
Adampura (29),3,46,244,35653,0.175097999967,0.0017156788428599999,75.25698596659464,30.49585742638834,95.9,90.3,33.1,76.30000000000003,57.3
Dulewala (31),3,46,244,35655,0.11360161346200001,0.0005901222315580001,75.24902981706579,30.451667634383803,82.9,83.5,28.066666666666666,67.2,49.4
Bhai Rupa (32),3,46,244,35656,0.353299708572,0.00426242581973,75.21611308944881,30.43511960202085,96.9,86.6,30.86666666666667,87.0,51.5
Gumti Kalan (33),3,46,244,35657,0.230076419229,0.00188771671457,75.1643609816104,30.42182125030314,95.2,70.8,26.8,73.5,47.1
Dayalpura Mirza (1),3,46,244,35658,0.205481586466,0.0020191884288900002,75.14322680501965,30.40131275978814,84.6,61.9,30.9,76.7,40.7
Selbrah (34),3,46,244,35659,0.19846916083900001,0.00145214739611,75.19418849222222,30.38460152152686,96.9,63.1,30.9,80.4,46.2
Kauloke (36),3,46,244,35660,0.075934563554,0.000323645720631,75.22089810130132,30.37586581463728,98.8,67.5,35.9,86.39999999999998,62.2
Burj Gill (35),3,46,244,35661,0.0926916349188,0.000483667345331,75.22484297568002,30.396649349586767,98.0,57.5,26.73333333333333,75.30000000000003,35.5
Dhapali (444),3,46,244,35662,0.38918261774,0.00235518596366,75.26686615286387,30.376130837861357,97.5,62.3,33.833333333333336,90.5,62.4
Ghandawna (441),3,46,244,35663,0.141142319752,0.000776862601608,75.27385355165144,30.422452839887967,90.7,78.3,34.2,80.39999999999998,46.40000000000001
Sandhu Khurd (442),3,46,244,35664,0.0943975120965,0.000420483714072,75.29426584537777,30.412973296041685,98.2,49.40000000000001,32.63333333333333,91.3,57.40000000000001
Phulewala (443),3,46,244,35665,0.11973179299100001,0.000609151684753,75.28643880333037,30.39400591819685,97.1,51.5,31.86666666666667,77.50000000000001,38.8
Raiya Urf Hardaspura (2),3,46,244,35666,0.257242433533,0.0012871460250899998,75.30828900855897,30.362129050489894,96.1,52.6,29.13333333333333,80.8,42.8
Dhingar (445),3,46,244,35667,0.09087241659389998,0.000358920031249,75.29103663723781,30.341688279596273,98.8,60.6,32.06666666666667,87.9,57.1
Allike (446),3,46,244,35668,0.135338217934,0.0005679913182469999,75.31153575550006,30.33574615651798,96.0,58.0,29.600000000000005,76.8,39.5
Chotian (42),3,46,244,35669,0.10327001337000001,0.00034910222340800006,75.29229908471505,30.32262220608953,95.1,82.2,27.566666666666666,74.5,43.8
Bugran (43),3,46,244,35670,0.13125490647399998,0.000441803847074,75.30941951956419,30.314375346175726,97.5,51.5,28.23333333333333,77.1,50.0
Jethuke (447),3,46,244,35671,0.19404225082899998,0.000903145732523,75.32715872831079,30.290486035080963,95.1,74.8,33.46666666666666,73.6,49.1
Ghureli (448),3,46,244,35672,0.0817244486029,0.000303547731088,75.3551277394451,30.274933875724287,96.1,79.6,32.03333333333334,73.2,48.3
Ghurela (49),3,46,244,35673,0.09861358919960002,0.000391204200442,75.35874779341884,30.25428938817845,97.2,49.2,31.83333333333333,86.80000000000003,53.1
Jeondan (71),3,46,244,35674,0.20788656225000002,0.00129020797033,75.33276431600041,30.256096059911442,98.1,91.9,35.9,81.5,53.7
Balloh (48),3,46,244,35675,8.056341474369999e-06,1.8875965276800003e-12,75.36379653233337,30.241111982666784,98.0,79.69999999999997,26.96666666666667,67.19999999999999,33.7
Badlala (47),3,46,244,35676,0.122727795079,0.000578581666556,75.32272653565366,30.224556173185192,95.7,80.2,31.399999999999995,83.49999999999999,32.2
Jaidan (46),3,46,244,35677,0.108165116761,0.000432122916745,75.31069942263288,30.251367297149557,97.0,76.5,30.96666666666667,85.30000000000003,45.6
Mandi Kalan (2),3,46,244,35678,0.219097588477,0.0023453080727199997,75.26985299635055,30.208483875692764,94.7,76.8,27.8,76.0,38.9
Khokhar (1),3,46,244,35679,0.194407324084,0.0011142976049100001,75.28862633350008,30.17848821243581,93.7,65.6,23.9,69.7,30.3
Chaoke (450),3,46,244,35680,0.272708403293,0.00298913759763,75.33464435213563,30.184452547869395,92.1,70.0,28.466666666666665,67.60000000000001,39.3
Pirkot (451),3,46,244,35681,0.133738303959,0.000798764295655,75.32934041297466,30.139523695866963,94.9,69.4,26.866666666666664,61.0,38.6
Bhaini Chuhar (452),3,46,244,35682,0.10356134463300001,0.000570829510182,75.30636598983125,30.122584922426373,95.6,87.2,32.43333333333334,63.2,39.5
Sooch (3),3,46,244,35683,0.108134228029,0.000589545480637,75.302278800539,30.15449133832476,97.0,57.40000000000001,32.43333333333333,83.4,56.3
Dikh (2),3,46,244,35684,0.21040295576499998,0.00163354538749,75.27696559616534,30.14677898039082,95.7,72.6,28.2,86.8,40.1
Dhade (3),3,46,244,35685,0.161311588341,0.0011667046414599999,75.24314409787496,30.173322848275628,96.8,64.5,30.53333333333333,89.7,50.1
Ram Niwas (4),3,46,244,35686,0.13448940396700002,0.0006368372693489999,75.2208874090777,30.162030231132572,97.4,87.1,28.466666666666665,80.19999999999997,42.6
Mandi Khurd (5),3,46,244,35687,0.0919801202422,0.00044684280366800007,75.21094399116781,30.134055406070104,94.3,53.6,26.633333333333336,86.1,38.5
Har Kishanpura (10),3,46,244,35688,0.11426688248299999,0.00048512812741300005,75.17214891407525,30.14190785927701,98.8,20.0,31.366666666666664,84.7,34.7
Nandgarh Kotra (9),3,46,244,35689,0.10968846318600001,0.000510182594629,75.17399978007687,30.1572360222774,99.6,81.1,27.466666666666665,58.90000000000001,42.8
Jhanduke (11),3,46,244,35690,0.179773538736,0.00081196772973,75.14801441368081,30.157861145610525,91.5,66.9,35.1,84.0,47.2
Mansa Khurd (12),3,46,244,35691,0.129083138835,0.00066045012353,75.12169479110122,30.153392659510697,98.4,79.9,31.23333333333333,92.1,64.6
Gill Khurd (8),3,46,244,35692,0.133816168951,0.00042146332962499994,75.14317819600006,30.178247327600502,99.5,66.8,33.5,87.7,45.90000000000001
Daulatpura (7),3,46,244,35693,0.08345199272800001,0.000379551630612,75.16282270778231,30.191728327326302,88.4,49.2,34.266666666666666,87.39999999999998,55.5
Balianwala (6),3,46,244,35694,0.24535153580400001,0.00225170658821,75.19279061171177,30.175706578578684,96.2,64.3,30.266666666666666,76.89999999999998,36.3
Bhunder (449),3,46,244,35695,0.17192720630600003,0.00149843538173,75.2211950785919,30.207894803122315,91.4,74.8,30.266666666666666,82.10000000000002,41.0
Patti Karam Chand Mehraj (193),3,46,244,35697,0.318552188021,0.00175451481738,75.17583207602172,30.282925441469327,96.7,71.80000000000003,34.800000000000004,80.69999999999997,55.3
Pitho (45),3,46,244,35699,0.216179189187,0.00185157946524,75.2876108835714,30.24474291741012,95.7,66.6,29.966666666666665,84.1,50.8
Kararwala (44),3,46,244,35700,0.20082531423900002,0.00111171396669,75.29828118850008,30.283568100152426,94.4,75.3,29.86666666666667,76.89999999999998,60.2
Gill Kalan (40) (Part),3,46,244,35701,0.17163354035,0.00098118139277,75.26472558332166,30.281550933289793,98.1,82.6,30.66666666666667,69.6,55.4
Burj Mansa (41),3,46,244,35702,0.136894224462,0.00036512951044399995,75.27343681685704,30.30601836634435,99.1,77.2,35.56666666666667,97.2,82.39999999999998
Harnam Singhwala (38),3,46,244,35704,0.126928593245,0.0005833072425980001,75.23449877443231,30.368084848027763,73.3,57.1,21.1,43.5,26.3
Sadhana (37),3,46,244,35705,0.151214366031,0.000627625633012,75.20116203100008,30.36199031695054,97.1,68.7,25.1,63.9,42.2
Bhagta Bhai Ka (NP),3,46,244,800222,0.18744135090300001,0.00203703717913,75.09914425128795,30.48903677651111,98.67857142857142,70.33571428571427,37.276190476190465,83.65714285714286,61.292857142857144
Rampura Phul (M Cl + OG),3,46,244,800223,0.214663390375,0.00190823662609,75.24034968870995,30.248699485891226,98.95238095238096,74.27619047619051,41.06984126984128,85.59523809523809,64.40952380952379
Mari (191),3,46,245,35712,0.11980284728499999,0.000625797742515,75.15664615446684,30.33340608830173,99.5,46.2,30.933333333333334,93.4,53.3
Burj Dalla (184),3,46,245,35713,0.10574471083900001,0.000270432924312,75.1323832975001,30.34380038390736,100.0,88.0,36.0,89.3,58.7
Bhaini   (188),3,46,245,35714,0.11073070019799999,0.0005486679600290001,75.1577452800001,30.35210312473629,99.1,55.1,32.7,85.4,50.3
Kalian Sukha (185),3,46,245,35717,0.297220366755,0.00372147294466,75.10134495251701,30.38339335144929,98.4,72.2,30.53333333333333,79.8,47.6
Bajoana (183),3,46,245,35718,0.20600945090599998,0.000548443286998,75.08685656750015,30.362190423485462,96.7,51.8,31.23333333333333,86.0,43.5
Giddar (181),3,46,245,35719,0.144965062665,0.0009345784475680002,75.05434057625935,30.356704532634865,95.6,83.30000000000003,30.7,83.5,56.5
Nathpura (182),3,46,245,35720,0.174217421902,0.00099682186263,75.0978616564188,30.348329121231018,98.1,73.10000000000002,31.4,76.3,53.2
Ganga Nathana (180),3,46,245,35721,0.20035033211,0.0008193598231569999,75.07329919622242,30.33587898523052,95.8,64.9,35.63333333333333,80.39999999999998,55.8
Nathana (179),3,46,245,35722,0.300042312639,0.0022359440669599997,75.08369197940482,30.31990857567439,94.6,74.0,32.13333333333333,79.39999999999998,57.1
Poohli (178),3,46,245,35723,0.17897416384599998,0.0016435614727000002,75.0717224163959,30.29658615782597,88.9,28.6,27.83333333333333,65.3,42.2
Dhilwan (177),3,46,245,35724,0.09643993994660001,0.00043132998606199995,75.03140024226241,30.31450621288849,98.0,91.1,27.26666666666667,84.4,50.4
Gobindpura (176),3,46,245,35725,0.182489649029,0.0010499041155800002,74.99963803611773,30.275468650289387,92.8,32.6,31.66666666666667,77.5,45.5
Seman (199),3,46,245,35726,0.196322746726,0.00103829533199,75.06938862200012,30.268157463050734,96.6,47.7,32.56666666666666,77.2,47.2
Poohla (198),3,46,245,35727,0.17239897403999999,0.00143326271584,75.11404250251564,30.28246338590595,97.0,43.6,34.06666666666667,66.7,55.1
Bath (197),3,46,245,35728,0.08766029175169998,0.000261495691002,75.13966852079608,30.28272117522829,99.7,54.0,32.46666666666667,83.2,48.0
Lehra Dhul Kot (194),3,46,245,35729,0.12466759818600001,0.000665905790613,75.20430399742048,30.25916332740945,86.0,72.7,52.3,75.0,63.5
Lehra Sondha (195),3,46,245,35730,0.16558128363,0.0006744361700419998,75.18368899894854,30.259630720157986,99.6,91.9,28.96666666666667,83.0,58.2
Lehra Mohabat (196),3,46,245,35731,0.29802177572099997,0.00229116018208,75.17017760675014,30.232993066074247,98.6,70.30000000000001,39.46666666666667,85.0,73.4
Lehra Khana (202),3,46,245,35732,0.19815652272,0.0012694095074500002,75.10896290750014,30.217212906531586,98.2,38.8,29.2,67.0,45.8
Lehra Bega (200),3,46,245,35733,0.176498009553,0.0011393321477599998,75.1178140185027,30.2445689510958,99.3,49.7,39.9,87.39999999999998,52.9
Bhucho Kalan (201),3,46,245,35734,0.371129318646,0.00336319310248,75.07532312050006,30.2355598754034,98.7,46.7,36.466666666666654,83.4,52.3
Bhucho Khurd (207),3,46,245,35736,0.145405581986,0.000979390334794,75.05463226248548,30.204713148848384,99.0,38.7,39.13333333333333,62.9,47.6
Bhagu (59),3,46,245,35737,0.120082409704,0.000704806317083,75.01501977094802,30.18859401487788,96.0,25.8,30.6,71.4,40.2
Bibiwala (174),3,46,245,35738,0.0975920792474,0.0005279924689529999,74.98887539165365,30.25547996463939,99.4,39.5,37.23333333333333,89.9,76.6
