"","Name","State","District","tehsil","village","shape_length","shape_area","longtitude","latitude","electricity","treated_water","electronics","phone","transport"
"1","Neor (6)",3,46,244,35634,0.103844714624,0.000539608269505,75.062521137282,30.4091421406407,99.2,67.7,32.3333333333333,83,43
"2","Maluka (5)",3,46,244,35635,0.22372441983,0.00199790253284,75.0563610732912,30.4345858388793,99.4,73.3,32.0333333333333,75.5,44.6
"3","Kotha Guru (1)",3,46,244,35636,0.280758985935,0.00259410417023,75.0961953026521,30.445370934677,99.1,56,34.9666666666667,85.7,49.9
"5","Siriewala (183)",3,46,244,35638,0.147808576837,0.00120628965398,75.0477605686247,30.488485611771,96.8,66.4,32.3666666666667,82.4,44.6
"6","Burj Ladha Singhwala (184)",3,46,244,35639,0.109279065557,0.000566881354915,75.0805259700372,30.5139241248209,94.4,76.6,31.7666666666667,84.9,41.4
"7","Kesar Singhwala (185)",3,46,244,35640,0.0940635540759,0.000395575142524,75.114247538398,30.5164563540858,98,52.6,34.1333333333333,69.4,58.4
"8","Bhodipura (20)",3,46,244,35641,0.142573317269,0.00101113168541,75.1514102735509,30.5401455082329,95.7,72.1,30.4333333333333,83.4,52.5
"9","Ramuwala (17)",3,46,244,35642,0.0900373830925,0.000443501676599,75.1327381704206,30.5599069197141,100,59.2,30.5,83.7,55.4
"10","Hakam Singhwala (18)",3,46,244,35643,0.103368822858,0.000438206440202,75.1509708826861,30.5703470910668,86.7,84.9,27.0333333333333,68.1,39.4
"11","Koer Singhwala (19)",3,46,244,35644,0.116001024067,0.000541381826023,75.1698563881125,30.5518068352811,94.7,78.1,34.5333333333333,82.2,66.8
"12","Aklia Jalal (21)",3,46,244,35645,0.148208243166,0.00100554810915,75.1556528580001,30.5150032766676,99.3,74.7,32.0333333333333,76.6,50.5
"13","Gurusar (22)",3,46,244,35646,0.107339345838,0.000654264341341,75.1386334743514,30.5023550090339,95.2,78.2,34.4666666666667,87.5,61.2
"14","Hamirgarh (23)",3,46,244,35647,0.122972559346,0.000777726260088,75.1278283633189,30.4738578652307,97.8,63.6,30.2666666666667,87.3,53.4
"15","Jalal (24)",3,46,244,35648,0.234522334644,0.00210007786394,75.1584214192941,30.472639362519,99.4,66.9,32.4333333333333,79.3,64.3
"16","Dyalpura Bhaika (25)",3,46,244,35649,0.24746656257,0.00173583047557,75.2022292428534,30.4813013151733,98.6,58.7,28.7,75.6,45.2
"17","Gaunspura (26)",3,46,244,35650,0.0894686001513,0.000334491665434,75.2068899058344,30.5041958268988,96.6,62.2,39.2,94.9,77.3
"18","Kangar (27)",3,46,244,35651,0.14892083956,0.00066055287682,75.2277301921475,30.4927263505899,96.6,69.9,31.1666666666667,77.5,40
"19","Adampura (29)",3,46,244,35653,0.175097999967,0.00171567884286,75.2569859665946,30.4958574263883,95.9,90.3,33.1,76.3,57.3
"21","Bhai Rupa (32)",3,46,244,35656,0.353299708572,0.00426242581973,75.2161130894488,30.4351196020209,96.9,86.6,30.8666666666667,87,51.5
"22","Gumti Kalan (33)",3,46,244,35657,0.230076419229,0.00188771671457,75.1643609816104,30.4218212503031,95.2,70.8,26.8,73.5,47.1
"23","Dayalpura Mirza (1)",3,46,244,35658,0.205481586466,0.00201918842889,75.1432268050197,30.4013127597881,84.6,61.9,30.9,76.7,40.7
"24","Selbrah (34)",3,46,244,35659,0.198469160839,0.00145214739611,75.1941884922222,30.3846015215269,96.9,63.1,30.9,80.4,46.2
"25","Kauloke (36)",3,46,244,35660,0.075934563554,0.000323645720631,75.2208981013013,30.3758658146373,98.8,67.5,35.9,86.4,62.2
"26","Burj Gill (35)",3,46,244,35661,0.0926916349188,0.000483667345331,75.22484297568,30.3966493495868,98,57.5,26.7333333333333,75.3,35.5
"27","Dhapali (444)",3,46,244,35662,0.38918261774,0.00235518596366,75.2668661528639,30.3761308378614,97.5,62.3,33.8333333333333,90.5,62.4
"28","Ghandawna (441)",3,46,244,35663,0.141142319752,0.000776862601608,75.2738535516514,30.422452839888,90.7,78.3,34.2,80.4,46.4
"29","Sandhu Khurd (442)",3,46,244,35664,0.0943975120965,0.000420483714072,75.2942658453778,30.4129732960417,98.2,49.4,32.6333333333333,91.3,57.4
"30","Phulewala (443)",3,46,244,35665,0.119731792991,0.000609151684753,75.2864388033304,30.3940059181969,97.1,51.5,31.8666666666667,77.5,38.8
"31","Raiya Urf Hardaspura (2)",3,46,244,35666,0.257242433533,0.00128714602509,75.308289008559,30.3621290504899,96.1,52.6,29.1333333333333,80.8,42.8
"32","Dhingar (445)",3,46,244,35667,0.0908724165939,0.000358920031249,75.2910366372378,30.3416882795963,98.8,60.6,32.0666666666667,87.9,57.1
"33","Allike (446)",3,46,244,35668,0.135338217934,0.000567991318247,75.3115357555001,30.335746156518,96,58,29.6,76.8,39.5
"34","Chotian (42)",3,46,244,35669,0.10327001337,0.000349102223408,75.2922990847151,30.3226222060895,95.1,82.2,27.5666666666667,74.5,43.8
"35","Bugran (43)",3,46,244,35670,0.131254906474,0.000441803847074,75.3094195195642,30.3143753461757,97.5,51.5,28.2333333333333,77.1,50
"36","Jethuke (447)",3,46,244,35671,0.194042250829,0.000903145732523,75.3271587283108,30.290486035081,95.1,74.8,33.4666666666667,73.6,49.1
"37","Ghureli (448)",3,46,244,35672,0.0817244486029,0.000303547731088,75.3551277394451,30.2749338757243,96.1,79.6,32.0333333333333,73.2,48.3
"38","Ghurela (49)",3,46,244,35673,0.0986135891996,0.000391204200442,75.3587477934188,30.2542893881784,97.2,49.2,31.8333333333333,86.8,53.1
"39","Jeondan (71)",3,46,244,35674,0.20788656225,0.00129020797033,75.3327643160004,30.2560960599114,98.1,91.9,35.9,81.5,53.7
"40","Balloh (48)",3,46,244,35675,8.05634147437e-06,1.88759652768e-12,75.3637965323334,30.2411119826668,98,79.7,26.9666666666667,67.2,33.7
"41","Badlala (47)",3,46,244,35676,0.122727795079,0.000578581666556,75.3227265356537,30.2245561731852,95.7,80.2,31.4,83.5,32.2
"42","Jaidan (46)",3,46,244,35677,0.108165116761,0.000432122916745,75.3106994226329,30.2513672971496,97,76.5,30.9666666666667,85.3,45.6
"43","Mandi Kalan (2)",3,46,244,35678,0.219097588477,0.00234530807272,75.2698529963506,30.2084838756928,94.7,76.8,27.8,76,38.9
